"",tSNE_1,tSNE_2,Cluster
4_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.61513079420899,6.40731594261546,1
5_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.75687107906325,6.7301860787309,1
2_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.5446927986902,6.46478516042205,1
8_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.41114788955996,7.10279991615543,1
0_#_BRCA_00007_TCGA-5L-AAT1-01Z-00-DX1,20.1504813189039,-17.4764039181601,4
1_#_BRCA_00007_TCGA-5L-AAT1-01Z-00-DX1,16.2650109405971,-21.8344935500575,10
2_#_BRCA_00007_TCGA-5L-AAT1-01Z-00-DX1,33.2025930818373,-13.7362158620104,4
3_#_BRCA_00007_TCGA-5L-AAT1-01Z-00-DX1,20.1342113483803,-7.92030432710064,5
4_#_BRCA_00007_TCGA-5L-AAT1-01Z-00-DX1,20.1630943572247,-8.04419478880522,4
6_#_BRCA_00007_TCGA-5L-AAT1-01Z-00-DX1,33.3485862091337,-13.5425260170156,4
5_#_BRCA_00007_TCGA-5L-AAT1-01Z-00-DX1,12.2396570615321,-31.2568373660968,9
0_#_BRCA_00008_TCGA-5T-A9QA-01Z-00-DX1,-16.991692121862,3.61198057742956,9
1_#_BRCA_00008_TCGA-5T-A9QA-01Z-00-DX1,0.988548246606693,-31.9349432482947,9
2_#_BRCA_00008_TCGA-5T-A9QA-01Z-00-DX1,22.6794015340451,-3.31181492898534,4
4_#_BRCA_00008_TCGA-5T-A9QA-01Z-00-DX1,1.32869858662534,-31.6212220458938,9
5_#_BRCA_00008_TCGA-5T-A9QA-01Z-00-DX1,-17.712700817145,3.99285387685491,9
3_#_BRCA_00008_TCGA-5T-A9QA-01Z-00-DX1,-2.4714438725966,18.860129942653,5
6_#_BRCA_00008_TCGA-5T-A9QA-01Z-00-DX1,-2.58723982377698,1.50151589026612,2
0_#_BRCA_00009_TCGA-A1-A0SB-01Z-00-DX1,-35.8101290915523,-4.76971074348815,8
1_#_BRCA_00009_TCGA-A1-A0SB-01Z-00-DX1,-2.65023829379702,-8.84370650082341,5
2_#_BRCA_00009_TCGA-A1-A0SB-01Z-00-DX1,15.0313877533196,-19.0563362357967,4
3_#_BRCA_00009_TCGA-A1-A0SB-01Z-00-DX1,19.4751305290502,-8.54595854608732,4
5_#_BRCA_00009_TCGA-A1-A0SB-01Z-00-DX1,29.6622956780363,4.52383902912542,7
6_#_BRCA_00009_TCGA-A1-A0SB-01Z-00-DX1,-4.72859784131375,-28.3911901622032,2
4_#_BRCA_00009_TCGA-A1-A0SB-01Z-00-DX1,-6.00361068063144,-31.7843585157838,9
0_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,-0.299787407970087,11.9744109850649,5
1_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,0.256823932481905,2.36810932576597,5
6_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,-2.50504132964704,-11.7133348546407,5
3_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,-0.432793413308288,11.9426259904271,5
2_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,-13.8866339102092,10.5063522351089,5
4_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,8.52309601152043,-20.0596832090392,9
5_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,22.6327134090697,1.56574494101898,4
7_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,27.5048297245869,-11.3582321870605,4
8_#_BRCA_00010_TCGA-A1-A0SD-01Z-00-DX1,13.0354825874644,3.32648169537314,1
0_#_BRCA_00011_TCGA-A1-A0SE-01Z-00-DX1,34.2951888906881,14.3785437968934,7
2_#_BRCA_00011_TCGA-A1-A0SE-01Z-00-DX1,29.2190459318534,4.81842221722316,7
1_#_BRCA_00011_TCGA-A1-A0SE-01Z-00-DX1,1.55964256512407,18.8748637549516,1
5_#_BRCA_00011_TCGA-A1-A0SE-01Z-00-DX1,34.2962916378607,14.3292348377023,7
3_#_BRCA_00011_TCGA-A1-A0SE-01Z-00-DX1,-0.905432676080231,16.4509799540448,1
4_#_BRCA_00011_TCGA-A1-A0SE-01Z-00-DX1,-6.11078316866707,-31.8771840146583,9
0_#_BRCA_00012_TCGA-A1-A0SF-01Z-00-DX1,10.8761522207543,-2.31766510753065,10
